"No.","Time","Source","Destination","Protocol","Length","Info"
"1429","2023-03-09 22:10:58.753005680","192.168.1.101","192.168.1.100","TCP","54","41334  >  161 [FIN, PSH, URG] Seq=1 Win=8192 Urg=0 Len=0"
"1430","2023-03-09 22:10:58.754500787","192.168.1.100","192.168.1.101","TCP","60","161  >  41334 [RST, ACK] Seq=1 Ack=2 Win=0 Len=0"
"1431","2023-03-09 22:10:58.796961855","192.168.1.101","192.168.1.100","TCP","54","65508  >  546 [FIN, PSH, URG] Seq=1 Win=8192 Urg=0 Len=0"
"1432","2023-03-09 22:10:58.798354021","192.168.1.100","192.168.1.101","TCP","60","546  >  65508 [RST, ACK] Seq=1 Ack=2 Win=0 Len=0"
"1433","2023-03-09 22:10:58.833385725","192.168.1.101","192.168.1.100","TCP","54","31996  >  547 [FIN, PSH, URG] Seq=1 Win=8192 Urg=0 Len=0"
"1434","2023-03-09 22:10:58.835556723","192.168.1.100","192.168.1.101","TCP","60","547  >  31996 [RST, ACK] Seq=1 Ack=2 Win=0 Len=0"
"1435","2023-03-09 22:10:58.886866974","192.168.1.101","192.168.1.100","TCP","54","39344  >  3306 [FIN, PSH, URG] Seq=1 Win=8192 Urg=0 Len=0"
"1436","2023-03-09 22:11:00.932740664","192.168.1.101","192.168.1.100","TCP","54","19345  >  2082 [FIN, PSH, URG] Seq=1 Win=8192 Urg=0 Len=0"
"1437","2023-03-09 22:11:00.933891634","192.168.1.100","192.168.1.101","TCP","60","2082  >  19345 [RST, ACK] Seq=1 Ack=2 Win=0 Len=0"
"1438","2023-03-09 22:11:00.965464226","192.168.1.101","192.168.1.100","TCP","54","19667  >  2083 [FIN, PSH, URG] Seq=1 Win=8192 Urg=0 Len=0"
"1439","2023-03-09 22:11:00.966725767","192.168.1.100","192.168.1.101","TCP","60","2083  >  19667 [RST, ACK] Seq=1 Ack=2 Win=0 Len=0"
"1440","2023-03-09 22:11:01.009023031","192.168.1.101","192.168.1.100","TCP","54","52890  >  8443 [FIN, PSH, URG] Seq=1 Win=8192 Urg=0 Len=0"
"1441","2023-03-09 22:11:01.010113719","192.168.1.100","192.168.1.101","TCP","60","8443  >  52890 [RST, ACK] Seq=1 Ack=2 Win=0 Len=0"
"1442","2023-03-09 22:11:01.049329940","192.168.1.101","192.168.1.100","TCP","54","8409  >  2086 [FIN, PSH, URG] Seq=1 Win=8192 Urg=0 Len=0"
"1443","2023-03-09 22:11:01.050371156","192.168.1.100","192.168.1.101","TCP","60","2086  >  8409 [RST, ACK] Seq=1 Ack=2 Win=0 Len=0"
"1444","2023-03-09 22:11:01.081498727","192.168.1.101","192.168.1.100","TCP","54","63537  >  2087 [FIN, PSH, URG] Seq=1 Win=8192 Urg=0 Len=0"
"1445","2023-03-09 22:11:01.083693673","192.168.1.100","192.168.1.101","TCP","60","2087  >  63537 [RST, ACK] Seq=1 Ack=2 Win=0 Len=0"
"1446","2023-03-09 22:11:01.133958014","192.168.1.101","192.168.1.100","TCP","54","29806  >  10000 [FIN, PSH, URG] Seq=1 Win=8192 Urg=0 Len=0"
"1447","2023-03-09 22:11:01.135431341","192.168.1.100","192.168.1.101","TCP","60","10000  >  29806 [RST, ACK] Seq=1 Ack=2 Win=0 Len=0"
"1448","2023-03-09 22:11:01.193937223","192.168.1.101","192.168.1.100","TCP","54","17514  >  389 [FIN, PSH, URG] Seq=1 Win=8192 Urg=0 Len=0"
"1449","2023-03-09 22:11:01.195724741","192.168.1.100","192.168.1.101","TCP","60","389  >  17514 [RST, ACK] Seq=1 Ack=2 Win=0 Len=0"
"1450","2023-03-09 22:11:01.238106290","192.168.1.101","192.168.1.100","TCP","54","12965  >  587 [FIN, PSH, URG] Seq=1 Win=8192 Urg=0 Len=0"
"1451","2023-03-09 22:11:01.239599121","192.168.1.100","192.168.1.101","TCP","60","587  >  12965 [RST, ACK] Seq=1 Ack=2 Win=0 Len=0"
"1452","2023-03-09 22:11:01.269660723","192.168.1.101","192.168.1.100","TCP","54","24893  >  443 [FIN, PSH, URG] Seq=1 Win=8192 Urg=0 Len=0"
"1453","2023-03-09 22:11:01.271253481","192.168.1.100","192.168.1.101","TCP","60","443  >  24893 [RST, ACK] Seq=1 Ack=2 Win=0 Len=0"
"1454","2023-03-09 22:11:01.308737383","192.168.1.101","192.168.1.100","TCP","54","41193  >  445 [FIN, PSH, URG] Seq=1 Win=8192 Urg=0 Len=0"
